teaching,teaching,coursecontent,coursecontent,examination,Examination,labwork,labwork,library_facilities, library_facilities,extracurricular,extracurricular
1,excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual,1,every thing is good subjects have a very good depth almost all the  books are available   in the library and more than that 4/5,1,exam pattern is completely different the entire exams are objective oriented resumbling  the education in abroad my review is 5/5,-1,the lab evaluations are very strict ,1,excellent,1,excellent  simply superb
0,lecture delivery and punctuality was good but the interaction with students was not good.,1,good,1,everything was good.,1,labs n practicals are good.,0,"i've never went to library in lpu.so,i don't know about that.",-1,"before coming to lpu i thought sports were very good n encouraging.but, there are many politics in sports especially in cricket."
0,punctuality and lecture is good here but interaction isn't good.,1,Its nice .,1,everything is good.,1,practicals are pretty well.,0,I don't know abt that bcoz i didn't go to library till now.,-1,not every one is getting opportunities here only recommended students getting.
1,good enough,-1,not good ,0,"excellent but checking procedure is not exceptable since we  fail to know our faults in mid term..
",1,good,1,facilities are good to overcome one's need,1,it seems to me very good since it is a good source of interaction with other and to built a leadership quilities and to overcome our faults.
1,"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university

",1,"The material provided in this university is depth of course, The courses in this university is knowledgeable
",1,"Excellent exam pattern, paper checking in this university is easy

",1,There is good evaluations in lab regarding practicle ,1,good,1,They are sportive
1,Very good indeed. ,1,The depth of course is very much  deep. According to me its very essential,0,I don't like the -ve marking system. appart from that everything is great,1,Very good,-1,Required text books are not available to every student,1,One of the best things I like about this university. The best of all.
1,"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",0,Some subjects are good and predictable.Remaining courses are not satisfactory,-1,"Returning the question paper after the exams to be expected,because to clear and clarify the doubts regarding particular subjects",1,Its Good,1,Its good,1,They are extraordinary
0,interaction of some faculty was good but not all faculty..,0,depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...,1,examination pattern was excellent,0,lab and practical works are good..with a little draw back of faculty in connecting  the lab practical to the outside  world..,0,library facilities are excellent...but only limited books are available ..so books should be increased.,1,extra curricular are so good. university is providing many pathways to many students....apart from education
1,"good, and also like the teaching style",1,I like this very much because every subject is linked up with real life situations and every thing in the subject is use full,1,good,1,I like it soo much,1,good ,1,good
1,"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good
 

",0,"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS 

",1,"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good

",1,Lab is good the Prof explains everything before the lab begins and the Lab Asst helps us during the experiments ,-1,The library has insufficent number of books for all the students,1,good they are knowledgebale and helps us interacting with other students
1,not bad,1,good,0,very hard papers and main concept papers,-1,very strcitly they evaluted marks ,1,very good there we can find several course books and we can find several reference books also...,1,in this university there is lot of events and lot of extra curriclar activities.... 
1,Its Quite Good,1,Pretty Good ,1,Good ,1,Good enough,0,"Library is vast and has got wide variety of books But I think more number of specimen copies of books should be made available
",1,Excellent
1,very good indeed,1,Is good,-1, Not so good,1,very good,1,very good,1,The best
1,not bad..,-1,not good enough.. we want something more.,-1,strict paper correction.,1,nice..enough,1,fine  ,1,good..
0,teaching is good some lecturers are showing partiality between south people and north people,1,good,0,super but paper checking is not good,1,labs are interesting and helpful toknoe the knowledge,1,good,1,excllent
0,I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE,-1,LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,1,NICE TIMING..,-1,NOT GOOD ...,1,VERY NICE....BUT BOOKS ARE NOT AVAILABE EVERY TIME,-1,VERY HIGH......NEED TO TAKE DOWN SOME ACCITIVTIES  NOISE POLUITION IN THE UNIVERSITY  ALWAYS A BIG PROBLEM.
1,All terms are good regarding the university activities,0,knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.,0,That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,1,Labs helps to know how the work is done.It thought me a good lessons.,1,They are good.,1,Yes.
1,GOOD,-1,HAVE TO IMPROVE,1,EXAMPATTERN IS GOOD AND MARKS DISTRIBUTION IS ALSO GOOD AND PAPER CHECKING IS VERY HARD ,1,IT IS GOOD,1,IT IS ALSO GOOD,1,VERY GOOD
1,intraction is good and leacture delivery also good and then punctuality is also is good,0,every one can tell depth of course but some one only give notes,,exam pattern is good and marks distribution is also good but paper checking is too hard,1,all labs and practical going on well,,good ,1,they all are held in super
1,all the given terms are good regarding the university ,1,we are getting maximum knowledge ,1,all are good ,1,not bad,-1,library facilities are not good.They are not following the rules( they are using phones in library).,1,good
1,All the terms are good regarding the university activities.,1,Knowledge is maximum gained  by reading books and also teachers explain the concept in depth.,0,The examination pattern is good .But time is not sufficient for those questions.,1,Labs are upto the mark.,1,They are good,1,the extracurricular activities held in university  are very enjoyable and good
-1,Some of the teacher are un experienced. Also they are unfair and baised. Infact many of the teachers are having few or no experience about the subject ,0,Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,1,MCQ pattern is quite good and efficient way for evolving students.,-1,Our labs do not have all facalities. ,1,We have a good library with all facalities.,1,Our university has lot of extracurricular going on and it helps us a lot.
1,IT IS GOING GOOD,0,HAVE TO IMPROVE,4,PAPER CHECKING IS VERY HARD REMAINING IS GOOD,1,ALL PRACTICAL WORK IS GOOD,0,THERE IS NO PROBLEM WITH THEM,1,IT IS THE BEST THING IN THIS UNIVERSITY I LIKE IT
-1,no,-1,we are getting minimum knowleage,-1,very bad,-1,very bad,-1,very bad,0,ok only
-1,not,-1,course content is not good,-1,bad,-1,bad,-1,bad,0,ok
-1,none,-1,not nice,-1,bad,-1,bad,-1,bad,0,ok only
-1,no one doing their job properly,0,need improvement,-1,bad,-1,bad,-1,bad,0,ok
-1,no one is good,-1,content are vast,-1,not worth,-1,not worth,-1,not worth,0,ok
-1,bad,-1,vast ,-1,not good,-1,not good,-1,not good,0,ok
-1,very bad,-1,worst,-1,not good,-1,not good,-1,not good,-1,very bad
-1,worst,-1,we need practical oriented course,-1,not,-1,not,-1,not,-1,bad
-1,not good,-1,course content are outdated,-1,not,-1,not,-1,not,-1,bad
-1,not appliing,-1,out dated,-1,not,-1,not,-1,not,-1,bad
-1,nothing,-1,very worst,-1,not,-1,not,-1,not,-1,not worth
-1,faculties are scolding,-1,not pleasing,-1,not,-1,not,-1,not,-1,not good
0,nothing to say,-1,noting to say,-1,not,-1,not,-1,not,-1,not good
-1,very worst,-1,less time to study,-1,not nice,-1,not nice,-1,not nice,-1,not
-1,they are not doing their job peoperly,-1,we are gaining more knowleage,-1,worst,-1,worst,-1,worst,-1,not
-1,they need to improve the skills,-1,topics are outdated,0,good but,0,good but,0,good but,-1,not
-1,their are not having knowlege in subject,0,good but,0,good but,0,good but,0,good but,-1,not
0,need improvement,0,good but,0,good but,0,good but,0,good but,-1,not
-1,faculty don't know any thing,0,good but,0,but,0,but,0,but,-1,not
-1,they dont have subject knowledge,0,but,0,but,0,but,0,but,-1,not nice
1,EXCELLENT,0,but,-1,has to improve,-1,has to improve,-1,has to improve,-1,worst
1,excellent job,-1,has to improve,0,but,0,but,0,but,0,good but
1,excellent work,0,but,0,but,0,but,0,but,0,good but
1,great  job,0,but,0,but,0,but,0,but,0,good but
1,deserving person,0,but,0,but,0,but,0,but,0,but
1,well trained,0,but,-1,very bad,-1,very bad,-1,very bad,0,but
1,trained faculty,-1,very bad,-1,bad,-1,bad,-1,bad,-1,has to improve
-1,not trained faculties,-1,bad,-1,bad,-1,bad,-1,bad,0,but
-1,need some imroveent,-1,bad,-1,bad,-1,bad,-1,bad,0,but
-1,faculties are procrastinating,-1,bad,-1,not worth,-1,not worth,-1,not worth,0,but
1,they are not procrastinating,-1,not worth,-1,not good,-1,not good,-1,not good,0,but
-1,they are complete the sylabus on time,-1,not good,-1,not good,-1,not good,-1,not good,-1,very bad
-1,not time to class,-1,not good,-1,not,-1,not,-1,not,-1,bad
-1,not punctual,-1,not,-1,not,-1,not,-1,not,-1,bad
-1,using mobile in class time,-1,not,-1,not,-1,not,-1,not,-1,bad
-1,very friently,-1,not,-1,not,-1,not,-1,not,-1,not worth
-1,he is not doing their job,-1,not,-1,not,-1,not,-1,not,-1,not good
-1,"very friently, punctual in his work",-1,not,-1,not,-1,not,-1,not,-1,not good
0,nothing to say,-1,not,-1,not nice,-1,not nice,-1,not nice,-1,not
0,nothing to say,-1,not nice,-1,worst,-1,worst,-1,worst,-1,not
1,staffs are brillient,-1,worst,-1,very bad,-1,very bad,-1,very bad,-1,not
0,faculties need to impove,-1,very bad,-1,bad,-1,bad,-1,bad,-1,not
-1,very bad,-1,bad,-1,bad,-1,bad,-1,bad,-1,not
-1,bad,-1,bad,-1,bad,-1,bad,-1,bad,-1,not
-1,bad,-1,bad,-1,not worth,-1,not worth,-1,not worth,-1,not nice
-1,bad,-1,not worth,-1,not good,-1,not good,-1,not good,-1,worst
-1,not worth,-1,not good,-1,not good,-1,not good,-1,not good,-1,very bad
-1,not good,-1,not good,-1,not,-1,not,-1,not,-1,bad
-1,not good,-1,not,-1,not,-1,not,-1,not,-1,bad
-1,not,-1,not,-1,not,-1,not,-1,not,-1,bad
-1,not,-1,not,-1,not,-1,not,-1,not,-1,not worth
-1,not,-1,not,-1,not,-1,not,-1,not,-1,not good
-1,not,-1,not,-1,not,-1,not,-1,not,-1,not good
-1,not,-1,not,-1,not nice,-1,not nice,-1,not nice,-1,not
-1,not,-1,not nice,-1,worst,-1,worst,-1,worst,-1,not
-1,not nice,-1,worst,1,very cheerful ,1,very cheerful ,1,very cheerful ,-1,not
-1,worst,1,very cheerful ,1,delighted,1,delighted,1,delighted,-1,not
1,very cheerful ,1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,-1,not
1,delighted,1,ecstatic.,1,glad.,1,glad.,1,glad.,-1,not
1,ecstatic.,1,glad.,1,joyful,1,joyful,1,joyful,-1,not nice
1,glad.,1,joyful,1,joyous,1,joyous,1,joyous,-1,worst
1,joyful,1,joyous,1,cheerful,1,cheerful,1,cheerful,1,very cheerful 
1,joyous,1,cheerful,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
1,cheerful,1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
1,faculty where very cheerful and motivating.  ,1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
1,very cheerful ,1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
1,very cheerful ,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
1,cheerful ,1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
1,very cheerful ,1,joyous,1,cheerful,1,cheerful,1,cheerful,1,very cheerful 
1,cheerful ,1,cheerful,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
1,delighted,1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
1,ecstatic.,1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
1,glad.,1,ecstatic of the course content is nice.,1,glad.,1,glad.,1,glad.,1,joyful
1,joyful,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
1,joyous,1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
1,cheerful,1,joyous,1,cheerful,1,cheerful,1,cheerful,-1,"depressing,"
-1,"depressing,",1,cheerful,-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
-1,"dismal,",-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
-1,"drear,",-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
-1,"dreary,",-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
-1,"heartbreaking,",-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
-1,"heartrending,",-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
-1,"melancholy,",-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
-1,"mournful,",-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",-1,"depressing,"
-1,"depressing,",-1,"mournful,",-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
-1,"dismal,",-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
-1,"drear,",-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
-1,"dreary,",-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
-1,"heartbreaking,",-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
-1,"heartrending,",-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
-1,"melancholy,",-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
-1,"mournful,",-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",-1,"depressing,"
-1,"depressing,",-1,"mournful,",-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
-1,"dismal,",-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
-1,"drear,",-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
-1,"dreary,",-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
-1,"heartbreaking,",-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
-1,"heartrending,",-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
-1,"melancholy,",-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
-1,"mournful,",-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",4,angry.
4,angry.,-1,"mournful,",4,angry.,4,angry.,4,angry.,4,enraged.
4,enraged.,4,angry.,4,enraged.,4,enraged.,4,enraged.,4,fuming.
4,fuming.,4,enraged.,4,fuming.,4,fuming.,4,fuming.,4,furious.
4,furious.,4,fuming.,4,furious.,4,furious.,4,furious.,4,incensed.
4,incensed.,4,furious.,4,incensed.,4,incensed.,4,incensed.,4,indignant.
4,indignant.,4,incensed.,4,indignant.,4,indignant.,4,indignant.,4,infuriated.
4,infuriated.,4,indignant.,4,infuriated.,4,infuriated.,4,infuriated.,4,mad.
4,mad.,4,infuriated.,4,mad.,4,mad.,4,mad.,4,angry.
4,angry.,4,mad.,4,angry.,4,angry.,4,angry.,4,enraged.
4,enraged.,4,angry.,4,enraged.,4,enraged.,4,enraged.,4,fuming.
4,fuming.,4,enraged.,4,fuming.,4,fuming.,4,fuming.,4,furious.
4,furious.,4,fuming.,4,furious.,4,furious.,4,furious.,4,incensed.
4,incensed.,4,furious.,4,incensed.,4,incensed.,4,incensed.,4,indignant.
4,indignant.,4,incensed.,4,indignant.,4,indignant.,4,indignant.,4,infuriated.
4,infuriated.,4,indignant.,4,infuriated.,4,infuriated.,4,infuriated.,4,mad.
4,mad.,4,infuriated.,4,mad.,4,mad.,4,mad,4,angry.
4,angry.,4,mad.,4,angry,4,angry.,4,angry.,4,enraged.
4,enraged.,4,angry.,4,enraged,4,enraged.,4,enraged.,4,fuming.
4,fuming.,4,enraged.,4,fuming.,4,fuming.,4,fuming.,4,furious.
4,furious.,4,fuming.,4,furious.,4,furious.,4,furious.,4,incensed.
4,incensed.,4,furious.,4,incensed.,4,incensed.,4,incensed.,4,indignant.
4,indignant.,4,incensed.,4,indignant.,4,indignant.,4,indignant.,4,infuriated.
4,infuriated.,4,indignant.,4,infuriated.,4,infuriated.,4,infuriated.,4,mad.
4,mad.,4,infuriated.,4,mad.,4,mad.,4,mad.,5,alarm.
5,alarm.,4,mad.,5,alarm.,5,alarm.,5,alarm.,5,anxiety
5,anxiety,5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
5,dread,5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
5,"fearfulness,",5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
5,"fright,",5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
5,"horror,",5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
5,"panic,",5,"horror,",5,"panic,",5,"panic,",5,"panic,",5,alarm.
5,alarm.,5,"panic,",5,alarm.,5,alarm.,5,alarm.,5,anxiety
5,anxiety,5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
5,dread,5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
5,"fearfulness,",5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
5,"fright,",5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
5,"horror,",5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
5,"panic,",5,"horror,",5,"panic,",5,"panic,",5,"panic,",5,alarm.
5,alarm.,5,"panic,",5,alarm.,5,alarm.,5,alarm.,5,anxiety
5,anxiety,5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
5,dread,5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
5,"fearfulness,",5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
5,"fright,",5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
5,"horror,",5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
5,"panic,",5,"horror,",5,"panic,",5,"panic,",5,"panic,",5,alarm.
5,alarm.,5,"panic,",5,alarm.,5,alarm.,5,alarm.,5,anxiety
5,anxiety,5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
5,dread,5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
5,"fearfulness,",5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
5,"fright,",5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
5,"horror,",5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
5,"panic,",5,"horror,",5,"panic,",5,we where very panic about the lab work,5,"panic,",6,"beatitude,"
6,"beatitude,",5,"panic,",6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
6,blessed,6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
6,"bliss,",6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
6,"blissfulness,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
6,"felicity,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
6,"gladness,",6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
6,happy,6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
6,warm fuzzies.,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,6,"beatitude,"
6,"beatitude,",6,warm fuzzies.,6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
6,blessed,6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
6,"bliss,",6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
6,"blissfulness,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
6,"felicity,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
6,"gladness,",6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
6,happy,6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
6,warm fuzzies.,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,6,"beatitude,"
6,"beatitude,",6,warm fuzzies.,6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
6,blessed,6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
6,"bliss,",6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
6,"blissfulness,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
6,"felicity,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
6,"gladness,",6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
6,happy,6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
6,warm fuzzies.,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,7,"amazement,"
7,"amazement,",6,warm fuzzies.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
7,"astonishment,",7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
7,"shock,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
7,"startlement,",7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
7,stupefaction.,7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,7,"amazement,"
7,"amazement,",7,stupefaction.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
7,"astonishment,",7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
7,"shock,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
7,"startlement,",7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
7,stupefaction.,7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,7,"amazement,"
7,"amazement,",7,stupefaction.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
7,"astonishment,",7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
7,"shock,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
7,"startlement,",7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
7,stupefaction.,7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,1,very cheerful 
1,very cheerful ,7,stupefaction.,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
1,delighted,1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
1,ecstatic.,1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
1,glad.,1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
1,joyful,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
1,joyous,1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
1,cheerful,1,joyous,1,cheerful,1,cheerful,1,cheerful,1,course content where very cheerful and motivating.  
1,very cheerful ,1,cheerful,1,course content where very cheerful and motivating.  ,1,course content where very cheerful and motivating.  ,1,course content where very cheerful and motivating.  ,1,very cheerful 
1,delighted,1,course content where very cheerful and motivating.  ,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,very cheerful 
1,ecstatic.,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,cheerful 
1,glad.,1,very cheerful ,1,cheerful ,1,cheerful ,1,cheerful ,1,very cheerful 
1,joyful,1,cheerful ,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,cheerful 
1,joyous,1,very cheerful ,1,cheerful ,1,cheerful ,1,cheerful ,1,delighted
1,cheerful,1,cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
1,very cheerful ,1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
1,delighted,1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
1,ecstatic.,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
1,I am very glad to meet the faculty. They where very friendly to student ,1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
1,classroom environment where very joyful,1,joyous,1,cheerful,1,cheerful,1,cheerful,-1,"depressing,"
1,joyous,1,cheerful,-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
1,cheerful,-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
1,very cheerful ,-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
1,delighted,-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
1,ecstatic.,-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
1,glad.,-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
1,joyful,-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
1,joyous,-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",-1,"depressing,"
1,cheerful,-1,"mournful,",-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
1,very cheerful ,-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
1,delighted,-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
1,ecstatic.,-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
1,glad.,-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
1,joyful,-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
1,joyous,-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
1,cheerful,-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",-1,"depressing,"
1,course content where very cheerful and motivating.  ,-1,"mournful,",-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
1,very cheerful ,-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
1,very cheerful ,-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
1,cheerful ,-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
1,very cheerful ,-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
1,cheerful ,-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
1,delighted,-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
1,ecstatic.,-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",4,angry.
1,glad.,-1,"mournful,",4,angry.,4,angry.,4,angry.,4,enraged.
1,joyful,4,angry.,4,enraged.,4,enraged.,4,enraged.,4,fuming.
1,joyous,4,enraged.,4,fuming.,4,fuming.,4,fuming.,4,furious.
1,cheerful,4,fuming.,4,furious.,4,furious.,4,furious.,4,incensed.
-1,"depressing,",4,furious.,4,incensed.,4,incensed.,4,incensed.,4,indignant.
-1,"dismal,",4,incensed.,4,indignant.,4,indignant.,4,indignant.,4,infuriated.
